Designator,Mid X,Mid Y,Rotation,Layer
D1,43.73,-42.0,0.0,top
D2,72.23,-42.0,0.0,top
D3,92.23,-42.0,0.0,top
H1,31.0,-17.2,0.0,top
H2,36.87,-68.84,270.0,top
H3,92.05,-68.85,0.0,top
H4,99.2,-17.2,0.0,top
J1,22.235,-44.93,90.0,top
J3,107.05,-44.75,270.0,top
J4,34.95,-29.0,90.0,top
J5,95.3,-29.0,270.0,top
JP1,51.85,-37.0,180.0,top
JP2,79.85,-37.0,180.0,top
JP3,99.35,-37.5,180.0,top
R1,51.11,-42.0,180.0,top
R2,79.61,-42.0,180.0,top
R3,99.71,-42.0,180.0,top
SW2,42.531875,-54.414062,0.0,top
SW3,71.106875,-54.414062,0.0,top
SW4,91.046875,-54.334062,0.0,top
U1,66.21,-26.26,0.0,top
